cases,deaths,country,geoid,countryterritorycode,population,date,date.int,log.cases,log.deaths,tot.cases,tot.deaths,cum.cases,cum.deaths,n.nonzero.rows,prop.zero.cases,prop.zero.deaths,delta.next.non0,max.gap,is.train,ctry.min.date.int,ctry.min.date,date.int.delta,ctry.first.log.cases,adj.log.cases
1,0,andorra,AD,AND,77006,2020-03-03,18324,0,-Inf,501,18,1,0,22,0.0833333333333333,0.583333333333333,11,11,FALSE,,,,,
1,0,andorra,AD,AND,77006,2020-03-14,18335,0,-Inf,501,18,2,0,22,0.0833333333333333,0.583333333333333,2,2,FALSE,,,,,
3,0,andorra,AD,AND,77006,2020-03-16,18337,1.09861228866811,-Inf,501,18,5,0,22,0.0833333333333333,0.583333333333333,1,2,FALSE,,,,,
9,0,andorra,AD,AND,77006,2020-03-17,18338,2.19722457733622,-Inf,501,18,14,0,22,0.0833333333333333,0.583333333333333,2,2,FALSE,,,,,
0,0,andorra,AD,AND,77006,2020-03-18,18339,-Inf,-Inf,501,18,14,0,22,0.0833333333333333,0.583333333333333,,,FALSE,,,,,
39,0,andorra,AD,AND,77006,2020-03-19,18340,3.66356164612965,-Inf,501,18,53,0,22,0.0833333333333333,0.583333333333333,1,2,FALSE,,,,,
22,0,andorra,AD,AND,77006,2020-03-20,18341,3.09104245335832,-Inf,501,18,75,0,22,0.0833333333333333,0.583333333333333,2,2,FALSE,,,,,
0,0,andorra,AD,AND,77006,2020-03-21,18342,-Inf,-Inf,501,18,75,0,22,0.0833333333333333,0.583333333333333,,,FALSE,,,,,
13,0,andorra,AD,AND,77006,2020-03-22,18343,2.56494935746154,-Inf,501,18,88,0,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
25,0,andorra,AD,AND,77006,2020-03-23,18344,3.2188758248682,-Inf,501,18,113,0,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
20,0,andorra,AD,AND,77006,2020-03-24,18345,2.99573227355399,-Inf,501,18,133,0,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
31,0,andorra,AD,AND,77006,2020-03-25,18346,3.43398720448515,-Inf,501,18,164,0,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
24,0,andorra,AD,AND,77006,2020-03-26,18347,3.17805383034795,-Inf,501,18,188,0,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
36,3,andorra,AD,AND,77006,2020-03-27,18348,3.58351893845611,1.09861228866811,501,18,224,3,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
43,0,andorra,AD,AND,77006,2020-03-28,18349,3.76120011569356,-Inf,501,18,267,3,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
41,1,andorra,AD,AND,77006,2020-03-29,18350,3.71357206670431,0,501,18,308,4,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
26,2,andorra,AD,AND,77006,2020-03-30,18351,3.25809653802148,0.693147180559945,501,18,334,6,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
36,2,andorra,AD,AND,77006,2020-03-31,18352,3.58351893845611,0.693147180559945,501,18,370,8,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
6,4,andorra,AD,AND,77006,2020-04-01,18353,1.79175946922806,1.38629436111989,501,18,376,12,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
14,2,andorra,AD,AND,77006,2020-04-02,18354,2.63905732961526,0.693147180559945,501,18,390,14,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
38,1,andorra,AD,AND,77006,2020-04-03,18355,3.63758615972639,0,501,18,428,15,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
11,1,andorra,AD,AND,77006,2020-04-04,18356,2.39789527279837,0,501,18,439,16,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
27,1,andorra,AD,AND,77006,2020-04-05,18357,3.29583686600433,0,501,18,466,17,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
35,1,andorra,AD,AND,77006,2020-04-06,18358,3.55534806148941,0,501,18,501,18,22,0.0833333333333333,0.583333333333333,1,1,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2019-12-31,18261,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-01,18262,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-02,18263,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-03,18264,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-04,18265,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
0,0,united_arab_emirates,AE,ARE,9630959,2020-01-05,18266,-Inf,-Inf,1799,10,0,0,31,0.66304347826087,0.945652173913043,,,FALSE,,,,,
