cases,deaths,country,geoid,countryterritorycode,population,date,date.int,log.cases,log.deaths,tot.cases,tot.deaths,cum.cases,cum.deaths,n.nonzero.rows,prop.zero.cases,prop.zero.deaths,delta.next.non0,max.gap,is.train,ctry.min.date.int,ctry.min.date,date.int.delta,ctry.first.log.cases,adj.log.cases
1,0,andorra,AD,AND,77006,2020-03-03,18324,0,-Inf,622,28,1,0,28,0.0666666666666667,0.466666666666667,11,11,FALSE,,,,,
1,0,andorra,AD,AND,77006,2020-03-14,18335,0,-Inf,622,28,2,0,28,0.0666666666666667,0.466666666666667,2,2,FALSE,,,,,
3,0,andorra,AD,AND,77006,2020-03-16,18337,1.09861228866811,-Inf,622,28,5,0,28,0.0666666666666667,0.466666666666667,1,2,FALSE,,,,,
9,0,andorra,AD,AND,77006,2020-03-17,18338,2.19722457733622,-Inf,622,28,14,0,28,0.0666666666666667,0.466666666666667,2,2,FALSE,,,,,
0,0,andorra,AD,AND,77006,2020-03-18,18339,-Inf,-Inf,622,28,14,0,28,0.0666666666666667,0.466666666666667,,,FALSE,,,,,
39,0,andorra,AD,AND,77006,2020-03-19,18340,3.66356164612965,-Inf,622,28,53,0,28,0.0666666666666667,0.466666666666667,1,2,FALSE,,,,,
22,0,andorra,AD,AND,77006,2020-03-20,18341,3.09104245335832,-Inf,622,28,75,0,28,0.0666666666666667,0.466666666666667,2,2,FALSE,,,,,
0,0,andorra,AD,AND,77006,2020-03-21,18342,-Inf,-Inf,622,28,75,0,28,0.0666666666666667,0.466666666666667,,,FALSE,,,,,
13,0,andorra,AD,AND,77006,2020-03-22,18343,2.56494935746154,-Inf,622,28,88,0,28,0.0666666666666667,0.466666666666667,1,1,FALSE,,,,,
25,0,andorra,AD,AND,77006,2020-03-23,18344,3.2188758248682,-Inf,622,28,113,0,28,0.0666666666666667,0.466666666666667,1,1,FALSE,,,,,
20,0,andorra,AD,AND,77006,2020-03-24,18345,2.99573227355399,-Inf,622,28,133,0,28,0.0666666666666667,0.466666666666667,1,1,FALSE,,,,,
31,0,andorra,AD,AND,77006,2020-03-25,18346,3.43398720448515,-Inf,622,28,164,0,28,0.0666666666666667,0.466666666666667,1,1,FALSE,,,,,
24,0,andorra,AD,AND,77006,2020-03-26,18347,3.17805383034795,-Inf,622,28,188,0,28,0.0666666666666667,0.466666666666667,1,1,FALSE,,,,,
